character,dialogue,movie
"65 ""THREEPIO"" ""Over here!  Help!  Please, help!""",,Episode IV
"66 ""LUKE"" ""... so I cut off my power, shut down the afterburners and came in low on Deak's trail.  I was so close I thought I was going to fry my instruments. As it was I busted up the Skyhopper pretty bad.  Uncle Owen was pretty upset.  He grounded me for the rest of the season.  You should have been there... it was fantastic.""",,Episode IV
"67 ""BIGGS"" ""You ought to take it a little easy Luke.  You may be the hottest bushpilot this side of Mos Eisley, but those little Skyhoppers are dangerous.  Keep it up, and one day, whammo, you're going to be nothing more than a dark spot on the down side of a canyon wall.""",,Episode IV
"68 ""LUKE"" ""Look who's talking.  Now that you've been around those giant starships you're beginning to sound like my uncle. You've gotten soft in the city...""",,Episode IV
"69 ""BIGGS"" ""I've missed you kid.""",,Episode IV
"70 ""LUKE"" ""Well, things haven't been the same since you left, Biggs.  It's been so...quiet.""",,Episode IV
"71 ""BIGGS"" ""Luke, I didn't come back just to say goodbye...  I shouldn't tell you this, but you're the only one I can trust... and if I don't come back, I want somebody to know.""",,Episode IV
"72 ""LUKE"" ""What are you talking about?""",,Episode IV
"73 ""BIGGS"" ""I made some friends at the Academy. ... when our frigate goes to one of the central systems, we're going to jump ship and join the Alliance...""",,Episode IV
"74 ""LUKE"" ""Join the Rebellion?!  Are you kidding!  How?""",,Episode IV
"75 ""BIGGS"" ""Quiet down will ya!  You got a mouth bigger than a meteor crater!""",,Episode IV
"76 ""LUKE"" ""I'm sorry.  I'm quiet. Listen how quiet I am.  You can barely hear me...""",,Episode IV
"77 ""BIGGS"" ""My friend has a friend on Bestine who might help us make contact.""",,Episode IV
"78 ""LUKE"" ""around forever trying to find them.""",,Episode IV
"79 ""BIGGS"" ""I know it's a long shot, but if I don't find them I'll do what I can on my own...  It's what we always talked about.  Luke, I'm not going to wait for the Empire to draft me into service.  The Rebellion is spreading and I want to be on the right side - the side I believe in. """,,Episode IV
"80 ""LUKE"" ""And I'm stuck here...""",,Episode IV
"81 ""BIGGS"" ""I thought you were going to the Academy next term.  You'll get your chance to get off this rock.""",,Episode IV
"82 ""LUKE"" ""Not likely!  I had to cancel my application.  There has been a lot of unrest among the Sand People since you left... they've even raided the outskirts of Anchorhead.""",,Episode IV
"83 ""BIGGS"" ""Your uncle could hold off a whole colony of Sand People with one blaster.""",,Episode IV
"84 ""LUKE"" ""I know, but he's got enough vaporators going to make the place pay off.  He needs me for just one more season.  I can't leave him now.""",,Episode IV
"85 ""BIGGS"" ""I feel for you, Luke, you're going to have to learn what seems to be important or what really is important.  What good is all your uncle's work if it's taken over by the Empire?...  You know they're starting to nationalize commerce in the central systems...it won't be long before your uncle is merely a tenant, slaving for the greater glory of the Empire.""",,Episode IV
"86 ""LUKE"" ""It couldn't happen here.  You said it yourself.  The Empire won't bother with this rock.""",,Episode IV
"87 ""BIGGS"" ""Things always change.""",,Episode IV
"88 ""LUKE"" ""I wish I was going...  Are you going to be around long? """,,Episode IV
"89 ""BIGGS"" ""No, I'm leaving in the morning...""",,Episode IV
"90 ""LUKE"" ""Then I guess I won't see you.""",,Episode IV
"91 ""BIGGS"" ""Maybe someday...  I'll keep a lookout.""",,Episode IV
"92 ""LUKE"" ""Well, I'll be at the Academy next season... after that who knows.  I won't be drafted into the Imperial Starfleet that's for sure...  Take care of yourself, you'll always be the best friend I've got.""",,Episode IV
"93 ""BIGGS"" ""So long, Luke.""",,Episode IV
"94 ""THREEPIO"" ""Artoo-Detoo!  It's you!  It's you!""",,Episode IV
"95 ""FIRST TROOPER"" ""Someone was in the pod.  The tracks go off in this direction. """,,Episode IV
"96 ""SECOND TROOPER"" ""Look, sir - droids.""",,Episode IV
"97 ""THREEPIO"" ""Wake up!  Wake up!""",,Episode IV
"98 ""THREEPIO"" ""We're doomed.""",,Episode IV
"99 ""THREEPIO"" ""Do you think they'll melt us down?""",,Episode IV
"100 ""THREEPIO"" ""Don't shoot!  Don't shoot!  Will this never end?""",,Episode IV
"101 ""BERU"" ""Luke, tell Owen that if he gets a translator to be sure it speaks Bocce.""",,Episode IV
"102 ""LUKE"" ""It looks like we don't have much of a choice but I'll remind him.""",,Episode IV
"103 ""OWEN"" ""I have no need for a protocol droid.""",,Episode IV
"104 ""THREEPIO"" ""Sir - not in an environment such as this - that's why I've also been programmed for over thirty secondary functions that...""",,Episode IV
"105 ""OWEN"" ""What I really need is a droid that understands the binary languages of moisture vaporators.""",,Episode IV
"106 ""THREEPIO"" ""Vaporators!  Sir - My first job was programming binary load lifters... very similar to your vaporators.  You could say...""",,Episode IV
"107 ""OWEN"" ""Do you speak Bocce?""",,Episode IV
